,EVENT_ID,COUNTY
0,824116,BEXAR
1,843354,PINE
2,861581,VAN ZANDT
3,861584,TARRANT
4,861582,PALO PINTO
5,856504,ROCKWALL
6,848333,WINDSOR
7,848338,ST. LAWRENCE
8,845760,Brevard
9,845762,Brevard
10,845764,Volusia
13,814097,MONTGOMERY
14,814096,LOGAN
15,848459,Brevard
16,848462,St. Lucie
17,842668,Hillsborough
18,842699,Hillsborough
19,847645,Hillsborough
20,844159,ROOSEVELT
21,844160,ROOSEVELT
22,850822,VERNON
23,850823,VERNON
24,844614,DOUGHERTY
25,848786,LAFAYETTE
26,852320,HARTFORD
29,849003,CUSTER
30,849004,CARTER
31,844158,SHERIDAN
32,848192,WIBAUX
33,848193,DAWSON
34,848194,WIBAUX
35,848195,DAWSON
36,850821,BARTON
39,848805,GADSDEN
40,848806,TAYLOR
41,848808,TAYLOR
42,852318,HARTFORD
43,848460,Volusia
44,848461,St. Lucie
45,848787,JEFFERSON
46,848788,BAY
47,852321,TOLLAND
55,852475,MIDDLESEX
56,852476,ESSEX
57,852477,ESSEX
58,852479,PLYMOUTH
59,852480,PLYMOUTH
60,852323,TOLLAND
61,852341,TOLLAND
62,852345,FRANKLIN
63,852346,FRANKLIN
64,852347,MIDDLESEX
65,852348,MIDDLESEX
66,852349,MIDDLESEX
67,852350,MIDDLESEX
68,852366,MIDDLESEX
69,852464,PROVIDENCE
70,852465,PROVIDENCE
71,852466,PROVIDENCE
72,852468,WORCESTER
73,852469,WORCESTER
74,852470,WORCESTER
75,852471,MIDDLESEX
76,852472,MIDDLESEX
77,852473,MIDDLESEX
78,852474,MIDDLESEX
79,825461,OZARK
80,825462,POLK
81,825464,SHANNON
82,825465,VERNON
83,825463,PULASKI
84,828009,CRAWFORD
85,828397,HEMPHILL
86,832232,MUSKINGUM
87,839573,DEKALB
88,832233,MUSKINGUM
89,859274,WARREN
90,832234,MUSKINGUM
91,845380,MECKLENBURG
92,833927,CHARLOTTE
93,840074,Pinellas
94,833780,Lee
95,833926,POLK
96,840122,PINELLAS
97,840125,Hillsborough
98,840128,Manatee
100,845382,Accomack
101,845407,WICOMICO
102,845413,DORCHESTER
103,845414,Poquoson City
104,845415,Middlesex
105,845416,York
106,845417,Accomack
107,845418,Mathews
108,845419,Northampton
109,845420,Hampton City
110,847706,PORTSMOUTH (C)
111,847707,CHESAPEAKE (C)
112,847683,Hampton City
113,847684,Hampton City
114,847685,Accomack
115,847686,Worcester
116,845423,Virginia Beach City
117,845477,York
119,828017,CRAWFORD
120,828019,BOURBON
122,845421,Northampton
123,845422,Northampton
124,847791,Virginia Beach City
125,826713,CLAY
126,826721,CLAY
127,826722,Duval
128,847708,VIRGINIA BEACH (C)
129,847783,PERQUIMANS
130,847787,NORTHAMPTON
131,847788,Accomack
132,847789,York
133,847790,Accomack
134,841734,Pinellas
136,840132,Manatee
140,841739,Manatee
143,841501,SIMPSON
145,841736,Pinellas
148,841519,SIMPSON
149,834140,WASHINGTON
152,841520,RANKIN
154,839129,RUTLAND
158,839130,RUTLAND
159,841504,SIMPSON
161,841517,RANKIN
163,833941,ESSEX
165,839131,WINDSOR
169,839132,WINDSOR
171,839133,WINDSOR
172,839134,ORANGE
175,842329,WARD
176,842262,WELLS
177,842264,WARD
178,842213,HETTINGER
179,842214,STARK
180,842215,STARK
181,842216,SIOUX
182,832513,BON HOMME
201,843273,APPLING
206,839137,ESSEX
211,839135,ORANGE
212,839136,WINDSOR
221,842884,St. Johns
223,842885,St. Johns
224,834424,BATH
226,841255,BATH
228,842886,DUVAL
231,843272,MARION
234,843277,DUVAL
238,843278,CLAY
240,843279,CLAY
269,844136,PETROLEUM
309,840218,CABELL
310,840224,MORGAN
311,840225,PERRY
312,840226,ATHENS
318,843459,APPLING
319,843460,APPLING
320,813048,KEYA PAHA
321,813047,KEYA PAHA
326,819053,BALTIMORE
336,843467,ALACHUA
369,844137,DAWSON
370,844138,DAWSON
374,844139,WIBAUX
375,844143,SHERIDAN
386,826397,KENOSHA
390,808336,Nassau
391,808337,Suffolk
392,808338,Nassau
393,808340,Suffolk
394,814257,New Haven
395,840231,MORGAN
