,EVENT_ID,STATE
0,824116,TEXAS
1,843354,MINNESOTA
2,861581,TEXAS
3,861584,TEXAS
4,861582,TEXAS
5,856504,TEXAS
6,848333,VERMONT
7,848338,New York
8,845760,Florida
9,845762,Florida
10,845764,Florida
13,814097,ARKANSAS
14,814096,Arkansas
15,848459,ATLANTIC SOUTH
16,848462,ATLANTIC SOUTH
17,842668,Florida
18,842699,Florida
19,847645,Florida
20,844159,Montana
21,844160,Montana
22,850822,MISSOURI
23,850823,Missouri
24,844614,Georgia
25,848786,FLORIDA
26,852320,CONNECTICUT
29,849003,MONTANA
30,849004,MONTANA
31,844158,MONTANA
32,848192,MONTANA
33,848193,MONTANA
34,848194,Montana
35,848195,Montana
36,850821,Missouri
39,848805,FLORIDA
40,848806,FLORIDA
41,848808,Florida
42,852318,Connecticut
43,848460,Florida
44,848461,Florida
45,848787,FLORIDA
46,848788,Florida
47,852321,Connecticut
55,852475,MASSACHUSETTS
56,852476,Massachusetts
57,852477,Massachusetts
58,852479,MASSACHUSETTS
59,852480,MASSACHUSETTS
60,852323,CONNECTICUT
61,852341,CONNECTICUT
62,852345,MASSACHUSETTS
63,852346,MASSACHUSETTS
64,852347,MASSACHUSETTS
65,852348,MASSACHUSETTS
66,852349,MASSACHUSETTS
67,852350,MASSACHUSETTS
68,852366,MASSACHUSETTS
69,852464,RHODE ISLAND
70,852465,RHODE ISLAND
71,852466,RHODE ISLAND
72,852468,MASSACHUSETTS
73,852469,MASSACHUSETTS
74,852470,MASSACHUSETTS
75,852471,MASSACHUSETTS
76,852472,MASSACHUSETTS
77,852473,MASSACHUSETTS
78,852474,MASSACHUSETTS
79,825461,MISSOURI
80,825462,MISSOURI
81,825464,MISSOURI
82,825465,Missouri
83,825463,Missouri
84,828009,Kansas
85,828397,TEXAS
86,832232,OHIO
87,839573,ALABAMA
88,832233,OHIO
89,859274,IOWA
90,832234,OHIO
91,845380,VIRGINIA
92,833927,FLORIDA
93,840074,GULF OF MEXICO
94,833780,Florida
95,833926,Florida
96,840122,FLORIDA
97,840125,GULF OF MEXICO
98,840128,GULF OF MEXICO
100,845382,Virginia
101,845407,Maryland
102,845413,MARYLAND
103,845414,Virginia
104,845415,Virginia
105,845416,Virginia
106,845417,ATLANTIC NORTH
107,845418,Virginia
108,845419,Virginia
109,845420,Virginia
110,847706,Virginia
111,847707,Virginia
112,847683,Virginia
113,847684,Virginia
114,847685,Virginia
115,847686,ATLANTIC NORTH
116,845423,ATLANTIC NORTH
117,845477,Virginia
119,828017,Kansas
120,828019,Kansas
122,845421,Virginia
123,845422,Virginia
124,847791,Virginia
125,826713,Florida
126,826721,FLORIDA
