Geographic Area,2017,2018,2019
"Autauga County, Alabama",55390,55533,55869
"Baldwin County, Alabama",212521,217855,223234
"Barbour County, Alabama",25157,24872,24686
"Bibb County, Alabama",22550,22367,22394
"Blount County, Alabama",57787,57771,57826
"Bullock County, Alabama",10176,10174,10101
"Butler County, Alabama",19888,19631,19448
"Calhoun County, Alabama",114710,114331,113605
"Chambers County, Alabama",33707,33600,33254
"Cherokee County, Alabama",25805,26014,26196
"Chilton County, Alabama",44120,44163,44428
"Choctaw County, Alabama",12925,12833,12589
"Clarke County, Alabama",24063,23918,23622
"Clay County, Alabama",13350,13294,13235
"Cleburne County, Alabama",14899,15010,14910
"Coffee County, Alabama",51853,51950,52342
"Colbert County, Alabama",54695,55004,55241
"Conecuh County, Alabama",12431,12292,12067
"Coosa County, Alabama",10724,10643,10663
"Covington County, Alabama",37062,36953,37049
"Crenshaw County, Alabama",13858,13825,13772
"Cullman County, Alabama",82867,83418,83768
"Dale County, Alabama",49342,49143,49172
"Dallas County, Alabama",39238,38294,37196
"DeKalb County, Alabama",71437,71407,71513
"Elmore County, Alabama",81422,81011,81209
"Escambia County, Alabama",36993,36524,36633
"Etowah County, Alabama",103007,102611,102268
"Fayette County, Alabama",16466,16445,16302
"Franklin County, Alabama",31542,31298,31362
"Geneva County, Alabama",26385,26306,26271
"Greene County, Alabama",8310,8209,8111
"Hale County, Alabama",14801,14749,14651
"Henry County, Alabama",17115,17173,17205
"Houston County, Alabama",104378,104770,105882
"Jackson County, Alabama",51828,51621,51626
"Jefferson County, Alabama",659599,659429,658573
"Lamar County, Alabama",13882,13882,13805
"Lauderdale County, Alabama",92564,92604,92729
"Lawrence County, Alabama",33063,32941,32924
"Lee County, Alabama",161440,163656,164542
"Limestone County, Alabama",94130,96177,98915
"Lowndes County, Alabama",10097,9974,9726
"Macon County, Alabama",18793,18321,18068
"Madison County, Alabama",361762,367004,372909
"Marengo County, Alabama",19396,19056,18863
"Marion County, Alabama",29792,29750,29709
"Marshall County, Alabama",95572,96170,96774
"Mobile County, Alabama",414045,413908,413210
"Monroe County, Alabama",21290,21062,20733
"Montgomery County, Alabama",227265,226504,226486
"Morgan County, Alabama",118918,119203,119679
"Perry County, Alabama",9302,9070,8923
"Pickens County, Alabama",20204,19980,19930
"Pike County, Alabama",33349,33242,33114
"Randolph County, Alabama",22687,22727,22722
"Russell County, Alabama",56985,57784,57961
"St. Clair County, Alabama",87926,88654,89512
"Shelby County, Alabama",213633,215583,217702
"Sumter County, Alabama",12749,12634,12427
"Talladega County, Alabama",80142,80137,79978
"Tallapoosa County, Alabama",40613,40535,40367
"Tuscaloosa County, Alabama",207618,208319,209355
"Walker County, Alabama",63895,63669,63521
"Washington County, Alabama",16522,16402,16326
"Wilcox County, Alabama",10691,10599,10373
"Winston County, Alabama",23760,23693,23629
"Aleutians East Borough, Alaska",3455,3395,3337
"Aleutians West Census Area, Alaska",5729,5640,5634
"Anchorage Municipality, Alaska",294338,290521,288000
"Bethel Census Area, Alaska",18090,18219,18386
"Bristol Bay Borough, Alaska",869,880,836
"Denali Borough, Alaska",2084,2032,2097
"Dillingham Census Area, Alaska",4940,4991,4916
"Fairbanks North Star Borough, Alaska",99675,98565,96849
"Haines Borough, Alaska",2524,2488,2530
"Hoonah-Angoon Census Area, Alaska",2139,2155,2148
"Juneau City and Borough, Alaska",32098,32037,31974
"Kenai Peninsula Borough, Alaska",58558,58561,58708
"Ketchikan Gateway Borough, Alaska",13834,13856,13901
"Kodiak Island Borough, Alaska",13512,13250,12998
"Kusilvak Census Area, Alaska",8236,8323,8314
"Lake and Peninsula Borough, Alaska",1612,1596,1592
"Matanuska-Susitna Borough, Alaska",106232,107115,108317
"Nome Census Area, Alaska",10025,10053,10004
"North Slope Borough, Alaska",9795,9850,9832
"Northwest Arctic Borough, Alaska",7795,7694,7621
"Petersburg Borough, Alaska",3264,3244,3266
"Prince of Wales-Hyder Census Area, Alaska",6444,6360,6203
"Sitka City and Borough, Alaska",8641,8554,8493
"Skagway Municipality, Alaska",1167,1169,1183
"Southeast Fairbanks Census Area, Alaska",6892,6937,6893
"Valdez-Cordova Census Area, Alaska",9220,9161,9202
"Wrangell City and Borough, Alaska",2521,2538,2502
"Yakutat City and Borough, Alaska",602,596,579
"Yukon-Koyukuk Census Area, Alaska",5409,5359,5230
"Apache County, Arizona",71545,71731,71887
"Cochise County, Arizona",124864,126411,125922
"Coconino County, Arizona",141001,142523,143476
"Gila County, Arizona",53578,53801,54018
"Graham County, Arizona",37481,37995,38837
"Greenlee County, Arizona",9443,9448,9498
"La Paz County, Arizona",20706,21039,21108
"Maricopa County, Arizona",4327184,4402403,4485414
"Mohave County, Arizona",207017,209292,212181
"Navajo County, Arizona",109079,110242,110924
"Pima County, Arizona",1026391,1036554,1047279
"Pinal County, Arizona",431564,446806,462789
"Santa Cruz County, Arizona",46566,46395,46498
"Yavapai County, Arizona",228082,231772,235099
"Yuma County, Arizona",209507,211612,213787
"Arkansas County, Arkansas",17872,17726,17486
"Ashley County, Arkansas",20311,20012,19657
"Baxter County, Arkansas",41308,41624,41932
"Benton County, Arkansas",266585,272266,279141
"Boone County, Arkansas",37459,37385,37432
"Bradley County, Arkansas",10813,10838,10763
"Calhoun County, Arkansas",5201,5227,5189
"Carroll County, Arkansas",27865,28097,28380
"Chicot County, Arkansas",10647,10442,10118
"Clark County, Arkansas",22184,22313,22320
"Clay County, Arkansas",14865,14763,14551
"Cleburne County, Arkansas",25059,24994,24919
"Cleveland County, Arkansas",8162,7995,7956
"Columbia County, Arkansas",23695,23586,23457
"Conway County, Arkansas",20810,20825,20846
"Craighead County, Arkansas",107188,108816,110332
"Crawford County, Arkansas",62894,63379,63257
